country,code,deaths
Afghanistan,AFG,7
Algeria,DZA,5
Angola,AGO,6
Argentina,ARG,1
Bolivia,BOL,29
Brazil,BRA,154
Central African Republic,CAF,23
China,CHN,132
Colombia,COL,92
Democratic Republic of the Congo,COD,77
Cuba,CUB,112
Ecuador,ECU,3
Ethiopia,ETH,157
"Micronesia, Federated States of",FSM,1
Honduras,HND,131
India,IND,349
Indonesia,IDN,191
Iran,IRN,176
Kenya,KEN,6
Kyrgyzstan,KGZ,65
Lebanon,LBN,90
Malaysia,MYS,241
Nepal,NPL,5
Netherlands,NLD,9
Pakistan,PAK,127
Peru,PER,87
Philippines,PHL,131
"Korea, Republic of",KOR,2
Russia,RUS,88
Senegal,SEN,7
Spain,ESP,154
Turkey,TUR,6
Ukraine,UKR,298
United Arab Emirates,ARE,6
United States,USA,230
Uruguay,URY,2
